"gene_symbol","P1_deduped.bam","P2_deduped.bam","P3_deduped.bam","P4_deduped.bam","P5_deduped.bam","P6_deduped.bam","P7_deduped.bam","P8_deduped.bam","P9_deduped.bam","P10_deduped.bam","P11_deduped.bam","P12_deduped.bam","P13_deduped.bam","P14_deduped.bam","P15_deduped.bam","P16_deduped.bam","P17_deduped.bam","P19_deduped.bam","P20_deduped.bam","P21_deduped.bam","P22_deduped.bam","P23_deduped.bam","P24_deduped.bam","P25_deduped.bam","P26_deduped.bam","P27_deduped.bam","P28_deduped.bam","P29_deduped.bam","P30_deduped.bam","P31_deduped.bam","P32_deduped.bam","P33_deduped.bam"
"GPR17",0,1,0,0,0,0,0,1,15,26,14,0,1,7,2,0,73,0,0,0,0,4,28,37,25,0,12,0,0,4,0,0
"GPR171",5,1,19,29,2,13,0,1,8,2,4,2,0,2,68,5,10,2,1,5,23,1,1,6,0,0,1,0,0,0,0,19
"GPR173",2,30,6,2,2,11,2,10,0,0,0,0,30,0,10,16,1,4,7,15,5,0,0,0,0,4,0,0,7,0,11,5
"GPR174",0,1,45,4,3,1,0,0,0,0,0,3,0,0,15,0,0,0,1,2,18,0,0,0,0,0,0,0,0,0,3,7
"GPR176",1,59,16,4,24,37,7,37,0,0,0,0,77,0,13,54,0,13,38,53,9,0,1,0,0,9,0,1,33,0,33,5
"GPR179",3,5,11,2,3,5,1,5,3,5,19,1,5,1,6,6,14,0,2,10,7,0,0,3,3,0,5,0,4,0,3,7
"GPR18",2,1,12,2,0,3,1,1,11,7,20,0,0,3,11,0,8,0,1,1,8,0,7,7,9,1,6,0,0,0,3,6
"GPR180",6,53,7,3,8,13,5,13,0,0,0,12,34,0,10,14,0,10,5,31,5,0,0,0,0,1,0,1,5,0,3,3
"GPR182",2,2,1,1,2,15,1,0,12,11,16,14,2,3,3,3,30,0,2,16,4,1,9,12,7,0,9,0,0,3,3,2
"GPR183",0,14,59,34,4,20,0,2,12,7,27,1,28,6,79,3,35,9,2,38,88,1,3,13,18,1,9,0,2,4,3,60
"GPR20",0,3,6,1,10,0,1,1,0,0,0,0,1,0,9,1,0,0,0,13,0,0,0,1,1,3,0,1,0,0,0,0
"GPR21",4,23,19,11,24,19,15,6,0,0,0,2,25,0,15,49,0,7,26,36,19,0,0,0,0,22,0,3,4,0,6,3
"GPR22",0,0,1,1,0,0,0,0,17,6,8,0,0,1,0,0,10,0,0,0,0,0,3,8,1,0,2,0,0,3,0,0
"GPR27",1,10,4,13,27,15,2,9,3,2,9,2,12,3,23,48,11,1,17,24,12,0,1,1,1,27,3,2,4,0,7,10
"GPR31",15,4,13,15,3,88,6,2,0,0,18,19,3,0,37,16,5,3,5,16,47,0,0,0,0,3,1,0,1,0,6,60
"GPR34",1,17,25,13,8,46,6,2,5,0,2,13,28,1,57,17,9,9,8,19,112,0,2,2,1,5,0,0,1,0,7,57
"GPR35",9,23,108,131,28,167,9,12,0,0,6,14,25,0,283,33,4,14,60,104,245,0,0,1,0,2,1,2,6,1,19,111
"GPR39",12,0,7,28,2,15,0,0,2,0,33,27,2,0,77,3,3,2,49,60,2,2,0,2,4,0,0,0,4,2,25,1
"GPR4",9,32,11,2,10,6,4,0,1,0,1,6,23,0,3,24,0,1,13,23,11,0,0,0,0,3,0,2,4,0,19,6
"GPR52",6,17,97,33,13,29,15,12,0,0,0,2,7,0,33,15,0,0,10,16,29,0,0,0,0,4,0,3,3,0,6,10
"GPR55",1,0,7,17,5,2,0,0,0,1,3,1,0,0,43,3,0,0,4,11,28,0,0,0,0,0,0,0,0,0,2,7
